Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: all data 1,Question 11: all data 2,Question 11: all data 3,Question 11: all data 4,Question 11: all data 5,Question 11: all data 6,Question 11: all data 7,Question 11: all data 8,Question 11: all data 9,Question 11: all data 10,Question 11: all data 11,Question 11: all data 12,Question 11: all data 13,Question 11: all data 14,Question 11: all data 15,Question 11: all data 16,Question 11: all data 17,Question 11: all data 18,Question 11: all data 19,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
206,10/20/2014 14:15:47,queen's university belfast,I conduct research,,,,,Administrative & business studies,not known,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,No,nvivo,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,researcher,Male,Prefer not to say,Microsoft Windows,True
207,10/20/2014 14:18:40,university of liverpool,I conduct research, I manage researchers or research projects,,,,Architecture & planning,"other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,rhinoceros 5,grasshopper,diva,adobe suite,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Microsoft Windows,True
208,10/20/2014 14:18:40,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,mathworks, maplesoft,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Linux,True
209,10/20/2014 14:19:10,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,More than 20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - a taught course,No,r, varbrule , javascript,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Mac OS X,True
210,10/20/2014 14:21:00,queen mary university of london,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing, python, perl,r, trinity, samtools, gatk, soapdenovo, newbler, velvet, structure ,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Female,Fixed term,Mac OS X,True
211,10/20/2014 14:21:48,queen's university belfast,I conduct research, I manage researchers or research projects,,,,Humanities & language based studies & archaeology,"other foundation, society or charity",More than 20 years,No,It would make no significant difference to my work,No,Yes - a taught course,Yes,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Microsoft Windows,False
212,10/20/2014 14:21:50,university of liverpool,I conduct research, I support researchers,,,,"Medicine, dentistry & health",nihr,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,sas,r, stata,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Microsoft Windows,True
213,10/20/2014 14:30:34,university of glasgow,I conduct research,,,,,Social studies,ahrc - arts and humanities research council,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,spss,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Microsoft Windows,True
214,10/20/2014 14:37:29,university of leeds,I conduct research, I support researchers, I develop software for researchers,,,"Biological, mathematical & physical sciences",not prepared to answer,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,mg, cubempi, spectral mhd codes.,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Don't have a preference,True
215,10/20/2014 14:43:21,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",university central funds,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,r,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Linux,True
216,10/20/2014 14:45:53,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,matlab, auto, fortran,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Microsoft Windows,True
217,10/20/2014 14:49:57,university of bristol,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,11-15 years,No,It would make no significant difference to my work,No,No,"No, but we expected to develop software as part of the project",blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Microsoft Windows,False
218,10/20/2014 15:02:53,university of bristol,I conduct research,,,,,Engineering & technology,industry,Less than a year,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,matlab,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Fixed term,Microsoft Windows,True
219,10/20/2014 15:11:25,university of birmingham,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project",quantumespresso, vasp, nwchem, gpaw, amber,gmin,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Linux,True
220,10/20/2014 15:17:21,university of leeds,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,Less than a year,Yes,"My work would require more effort, but it would still be possible",No,No,No, mendeley, endnote, sente,microsoft word, microsoft excel,microsoft powerpoint, latex,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Fixed term,Mac OS X,True
221,10/20/2014 15:23:01,queen mary university of london,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",industry,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,mestrenova, microsoft excel,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Female,Permanent,Microsoft Windows,True
222,10/20/2014 15:29:28,queen mary university of london,Other,,,,,"Biological, mathematical & physical sciences",self funded,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,r, genie, c, c++, libreoffice calc,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Prefer not to say,,Linux,True
223,10/20/2014 15:30:16,university of sheffield,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,matlab, opensim,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Linux,True
224,10/20/2014 15:30:31,imperial college london,I conduct research, I support researchers,,,,Engineering & technology,don't know,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No, origin,matlab, python,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Permanent,Microsoft Windows,True
225,10/20/2014 15:35:30,university of bristol,I conduct research, I develop software for researchers,,,,Social studies,mrc - medical research council,1-5 years,No,It would make no significant difference to my work,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Linux,False
226,10/20/2014 15:38:23,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,root,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Prefer not to say,Linux,True
227,10/20/2014 15:40:25,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project", prism, nusmv,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Don't have a preference,True
228,10/20/2014 15:40:29,university of nottingham,I support researchers,,,,,"Biological, mathematical & physical sciences",don't know,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,technician,Male,Permanent,Microsoft Windows,False
229,10/20/2014 15:40:59,university of nottingham,I conduct research, I support researchers,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,past hammer, arcgis,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,research fellow,Female,Fixed term,Microsoft Windows,True
230,10/20/2014 15:48:42,university of nottingham,I conduct research, I manage researchers or research projects,,,,Engineering & technology,european union,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,spss,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,research fellow,Female,Fixed term,Microsoft Windows,True
231,10/20/2014 15:51:33,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,syngene genetools, ascent,, imagej, microsoft excel,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,,Male,Fixed term,Microsoft Windows,True
232,10/20/2014 15:53:56,university of glasgow,I conduct research,,,,,Engineering & technology,industry,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing, origin, l-edit, layoutbeamer, penelope,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Mac OS X,True
233,10/20/2014 15:55:07,queen's university belfast,I conduct research,,,,,Engineering & technology,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,spss, amos, vensim, banxia,nvivo,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Microsoft Windows,True
234,10/20/2014 15:55:35,university of leeds,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,No,Yes - a taught course,No,ccp4, ccpn,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Mac OS X,True
235,10/20/2014 15:56:57,university of liverpool,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",r, gcc,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,reader,Male,Permanent,Mac OS X,True
236,10/20/2014 15:58:57,imperial college london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",european research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,magma, go, sage, mathematica,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,reader,Male,Permanent,Mac OS X,True
237,10/20/2014 16:06:41,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No, latex,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Mac OS X,True
238,10/20/2014 16:08:36,university of sheffield,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",university central funds,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No, latex,r, python, pari,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,reader,Male,Permanent,Microsoft Windows,True
239,10/20/2014 16:18:01,university of sheffield,I conduct research,,,,,"Medicine, dentistry & health",no funding,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,spss, microsoft excel,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Female,Permanent,Microsoft Windows,True
240,10/20/2014 16:19:35,university of nottingham,I conduct research, I support researchers, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Linux,False
241,10/20/2014 16:22:51,imperial college london,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",european union,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,spss, statgraphs, origin, microsoft excel, geochem,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,other,Female,Fixed term,Microsoft Windows,True
242,10/20/2014 16:28:42,university of bristol,I conduct research,Other,,,,Social studies,university central funds,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes, stata, oxmetrics,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,reader,Male,Permanent,Don't have a preference,True
243,10/20/2014 16:30:26,university of liverpool,I conduct research, I support researchers,,,,"Medicine, dentistry & health",nihr,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,"No, but we expected to develop software as part of the project", microsoft excel, access, graphpad,spss, plink,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Microsoft Windows,True
245,10/20/2014 16:46:47,imperial college london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,magma, sage,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Linux,True
246,10/20/2014 16:57:38,imperial college london,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,root,c++,python,cuda,bash, neut, genie, geant4, mysql, minuit, stan,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Other,Fixed term,Linux,True
247,10/20/2014 16:59:23,queen's university belfast,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,european union,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,abaqus,intel fortran,matlab,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Microsoft Windows,True
248,10/20/2014 17:01:10,queen mary university of london,I conduct research,,,,,Humanities & language based studies & archaeology,"other foundation, society or charity",1-5 years,No,It would make no significant difference to my work,No,No,No,n/a,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
249,10/20/2014 17:03:53,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,text processing software, visualization software,,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,research fellow,Male,Fixed term,Linux,True
250,10/20/2014 17:16:31,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,No,It would make no significant difference to my work,No,No,I'm not involved in bid writing,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Prefer not to say,Linux,False
251,10/20/2014 17:25:07,queen mary university of london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,european union,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",spss,matlab,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Microsoft Windows,True
252,10/20/2014 17:37:07,university of bristol,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",nihr,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,nvivo,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,research fellow,Female,Permanent,Microsoft Windows,True
253,10/20/2014 17:42:31,university of bristol,I conduct research,,,,,Social studies,esrc - economic and social research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,spss,geosegregationanalyser,arcinfo,equipop,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,,Microsoft Windows,True
254,10/20/2014 17:50:41,imperial college london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",c ,r,pgplot graphics library,gnu scientific library, python, shell ,perl,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Mac OS X,True
255,10/20/2014 18:15:12,university of sheffield,I conduct research, I develop software for researchers,,,,Engineering & technology,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,lucence, weka, rdf3x, mturk, stanfordnlp,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Mac OS X,True
256,10/20/2014 18:17:39,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers,Other,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Permanent,Mac OS X,False
257,10/20/2014 18:22:05,queen mary university of london,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project",dl_poly, cp2k, gaussian, nwchem,fortran, perl,bash,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Linux,True
258,10/20/2014 19:08:21,university of leeds,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing, python, python, matplotlib,python, scikit-learn, p,, python, p,oc,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Male,Fixed term,Linux,True
259,10/20/2014 19:29:05,imperial college london,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",industry,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,enthought canopy ,xcode,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Linux,True
260,10/20/2014 19:41:17,university of sheffield,I conduct research, I support researchers,,,,Social studies,university central funds,More than 20 years,No,It would make no significant difference to my work,No,"Yes - a taught course, Yes - self taught using online resources or books",No,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Mac OS X,False
261,10/20/2014 19:53:21,university of bristol,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",european union,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,, box models.,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Linux,True
262,10/20/2014 20:03:05,queen mary university of london,I conduct research,,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - a taught course,No,r, python, latex,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,phd student,Prefer not to say,Fixed term,Mac OS X,True
263,10/20/2014 20:05:14,queen's university belfast,I conduct research, I manage researchers or research projects,,,,Architecture & planning,industry,15-20 years,No,It would make no significant difference to my work,No,No,No,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Female,Permanent,Mac OS X,False
264,10/20/2014 20:14:57,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,Other,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,r,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,reader,Male,Permanent,Mac OS X,True
265,10/20/2014 20:17:51,university of bristol,I conduct research, I support researchers, I manage researchers or research projects,,,Social studies,"other foundation, society or charity",11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,egret, mlwin,spss,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,research fellow,Female,Permanent,Microsoft Windows,True
266,10/20/2014 20:29:35,university of nottingham,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,vectornti, clc bio genomics workbench, genepattern, bioedit, htseq, intrgrated genomics viewer , mega phylogenetics software,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
